timestamp,track,speed
1753190710,45.0,0.0
1753193911,45.0,4.0
1753193921,45.0,1.0
1753193932,45.0,0.0
1753193940,45.0,1.0
1753193953,45.0,3.0
1753193994,45.0,1.0
1753194237,22.0,2.0
1753194260,45.0,2.0
1753194283,129.0,2.0
1753194531,135.0,6.0
1753194539,135.0,8.0
1753194546,135.0,0.0
1753194556,135.0,7.0
1753194564,160.0,8.0
1753194571,191.0,6.0
1753195124,196.0,4.0
1753195137,196.0,7.0
1753195144,196.0,9.0
1753195152,196.0,9.0
1753195159,196.0,7.0
1753195168,171.0,7.0
1753195178,160.0,8.0
1753195186,149.0,7.0
1753195193,132.0,6.0
1753195202,84.0,6.0
1753195212,19.0,7.0
1753195220,317.0,4.0
1753195236,312.0,19.0
1753195238,309.0,34.0
1753195241,309.0,43.0
1753195245,312.0,66.0
1753195247,309.0,70.0
1753195251,309.0,90.0
1753195253,310.0,98.0
1753195256,311.0,111.0
1753195267,311.0,152.0
1753195280,310.0,158.0
1753195287,310.0,158.0
1753195293,310.0,156.0
1753195301,310.0,153.0
1753195310,310.0,155.0
1753195318,310.0,155.0
1753195326,310.0,157.0
1753195336,305.0,160.0
1753195340,300.0,160.0
1753195342,283.0,159.0
1753195345,278.0,158.0
1753195347,277.0,158.0
1753195349,277.0,158.0
1753195356,277.0,158.0
1753195360,273.0,158.0
1753195362,273.0,158.0
1753195365,272.0,160.0
1753195367,272.0,164.0
1753195371,271.0,167.0
1753195374,271.0,171.0
1753195377,270.0,176.0
1753195379,270.0,179.0
1753195387,270.0,189.0
1753195395,270.0,200.0
1753195402,270.0,209.0
1753195410,271.0,224.0
1753195419,270.0,240.0
1753195427,271.0,251.0
1753195437,271.0,263.0
1753195445,272.0,269.0
1753195452,271.0,270.0
1753195467,272.0,278.0
1753195478,272.0,285.0
1753195492,271.0,292.0
1753195504,272.0,294.0
1753195519,271.0,295.0
1753195533,271.0,297.0
1753195546,271.0,289.0
1753195558,271.0,289.0
1753195572,271.0,303.0
1753195588,271.0,321.0
1753195603,271.0,338.0
1753195616,263.0,350.0
1753195620,260.0,352.0
1753195622,260.0,353.0
1753195625,260.0,354.0
1753195629,260.0,355.0
1753195632,260.0,356.0
1753195635,259.0,355.0
1753195637,259.0,358.0
1753195669,260.0,361.0
1753195702,260.0,367.0
1753195735,260.0,374.0
1753195767,260.0,382.0
1753195799,260.0,383.0
1753195816,249.0,387.0
1753195819,246.0,388.0
1753195822,242.0,389.0
1753195825,241.0,389.0
1753195828,236.0,390.0
1753195831,233.0,391.0
1753195834,230.0,392.0
1753195837,227.0,392.0
1753195840,226.0,393.0
1753195843,226.0,393.0
1753195845,226.0,393.0
1753195847,226.0,395.0
1753195850,226.0,395.0
1753195854,226.0,396.0
1753195857,226.0,395.0
1753195889,226.0,402.0
1753195919,226.0,412.0
1753195951,226.0,418.0
1753195982,226.0,425.0
1753196013,226.0,434.0
1753196044,226.0,437.0
1753196077,226.0,440.0
1753196108,226.0,439.0
1753196141,226.0,442.0
1753196172,225.0,447.0
1753196204,227.0,444.0
1753196219,237.0,444.0
1753196222,260.0,444.0
1753196225,237.0,444.0
1753196231,241.0,444.0
1753196250,228.0,446.0
1753196257,247.0,446.0
1753196286,228.0,446.0
1753196289,284.0,446.0
1753196292,266.0,446.0
1753196295,226.0,448.0
1753196300,227.0,448.0
1753196308,238.0,450.0
1753196313,240.0,448.0
1753196317,240.0,448.0
1753196323,283.0,448.0
1753196326,258.0,448.0
1753196330,212.0,448.0
1753196333,244.0,448.0
1753196339,218.0,448.0
1753196350,298.0,450.0
1753196354,269.0,450.0
1753196359,242.0,450.0
1753196364,222.0,452.0
1753196367,203.0,452.0
1753196370,90.0,300.0
1753196373,90.0,458.0
1753196376,90.0,453.0
1753196379,90.0,451.0
1753196382,90.0,462.0
1753196385,90.0,453.0
1753196388,90.0,320.0
1753196390,90.0,170.0
1753196393,90.0,455.0
1753196424,90.0,451.0
1753196440,241.0,448.0
1753196443,241.0,445.0
1753196446,241.0,449.0
1753196449,241.0,448.0
1753196452,241.0,451.0
1753196455,241.0,446.0
1753196458,240.0,450.0
1753196461,240.0,450.0
1753196467,90.0,449.0
1753196470,90.0,445.0
1753196473,90.0,443.0
1753196476,90.0,443.0
1753196479,90.0,442.0
1753196482,90.0,441.0
1753196485,90.0,433.0
1753196489,90.0,435.0
1753196495,241.0,434.0
1753196498,241.0,432.0
1753196501,241.0,430.0
1753196504,241.0,426.0
1753196507,241.0,426.0
1753196510,241.0,424.0
1753196513,241.0,422.0
1753196516,241.0,423.0
1753196519,241.0,421.0
1753196522,241.0,419.0
1753196554,238.0,431.0
1753196566,220.0,280.0
1753196568,229.0,480.0
1753196579,261.0,370.0
1753196613,241.0,370.0
1753196645,243.0,280.0
1753196649,231.0,130.0
1753196674,243.0,250.0
1753196679,241.0,413.0
1753196711,243.0,410.0
1753196743,242.0,407.0
1753196774,240.0,412.0
1753196805,240.0,420.0
1753196837,238.0,300.0
1753196869,243.0,389.0
1753196879,243.0,280.0
1753196881,250.0,100.0
1753196914,237.0,429.0
1753196919,236.0,160.0
1753196951,243.0,425.0
1753196965,261.0,60.0
1753196993,242.0,412.0
1753196997,242.0,422.0
1753197027,240.0,427.0
1753197050,241.0,412.0
1753197137,240.0,420.0
1753197174,242.0,406.0
1753197181,240.0,419.0
1753197249,240.0,378.0
1753197280,241.0,410.0
1753197294,240.0,415.0
1753197752,210.0,433.0
1753197785,212.0,390.0
1753197833,210.0,420.0
1753197865,210.0,420.0
1753197903,211.0,360.0
1753197923,197.0,310.0
1753197952,210.0,434.0
1753197986,211.0,380.0
1753197997,224.0,130.0
1753198005,198.0,630.0
1753198027,203.0,579.0
1753198033,213.0,405.0
1753198046,232.0,80.0
1753198048,191.0,630.0
1753198077,211.0,436.0
1753198098,238.0,210.0
1753198101,195.0,510.0
1753198127,211.0,428.0
1753198131,248.0,160.0
1753198145,180.0,190.0
1753198159,210.0,447.0
1753198170,195.0,290.0
1753198173,215.0,387.0
1753198199,210.0,433.0
1753198232,209.0,435.0
1753198263,209.0,429.0
1753198294,211.0,434.0
1753198326,210.0,434.0
1753198358,210.0,438.0
1753198389,210.0,437.0
1753198420,210.0,433.0
1753198452,209.0,438.0
1753198484,210.0,427.0
1753198517,209.0,447.0
1753198548,209.0,447.0
1753198581,211.0,435.0
1753198611,210.0,439.0
1753198645,210.0,433.0
1753198677,210.0,433.0
1753198709,210.0,431.0
1753198741,210.0,443.0
1753198774,209.0,442.0
1753198804,209.0,427.0
1753198836,210.0,440.0
1753198867,209.0,438.0
1753198899,209.0,433.0
1753198932,210.0,447.0
1753198963,210.0,435.0
1753198994,209.0,444.0
1753199025,209.0,442.0
1753199056,210.0,442.0
1753199089,209.0,442.0
1753199122,209.0,443.0
1753199154,210.0,440.0
1753199186,209.0,442.0
1753199216,209.0,442.0
1753199248,209.0,439.0
1753199282,208.0,442.0
1753199314,209.0,443.0
1753199345,209.0,443.0
1753199377,209.0,442.0
1753199409,209.0,441.0
1753199440,209.0,434.0
1753199454,186.0,310.0
1753199483,209.0,436.0
1753199494,238.0,400.0
1753199496,198.0,401.0
1753199523,208.0,429.0
1753199527,209.0,436.0
1753199556,210.0,438.0
1753199589,208.0,433.0
1753199623,208.0,433.0
1753199656,210.0,434.0
1753199687,209.0,433.0
1753199720,208.0,433.0
1753199752,201.0,437.0
1753199784,194.0,444.0
1753199816,188.0,451.0
1753199848,186.0,444.0
1753199879,187.0,443.0
1753199912,186.0,445.0
1753199943,187.0,445.0
1753199976,187.0,444.0
1753200009,187.0,437.0
1753200041,186.0,442.0
1753200074,186.0,442.0
1753200105,186.0,442.0
1753200136,186.0,439.0
1753200169,186.0,438.0
1753200200,185.0,441.0
1753200232,187.0,444.0
1753200265,186.0,448.0
1753200298,187.0,441.0
1753200330,187.0,360.0
1753200359,153.0,520.0
1753200363,150.0,260.0
1753200368,126.0,487.0
1753200372,157.0,220.0
1753200390,186.0,435.0
1753200392,186.0,437.0
1753200394,187.0,440.0
1753200397,186.0,446.0
1753200400,187.0,442.0
1753200410,186.0,442.0
1753200441,186.0,423.0
1753200472,182.0,440.0
1753200505,176.0,443.0
1753200535,176.0,450.0
1753200568,175.0,446.0
1753200602,176.0,441.0
1753200632,176.0,445.0
1753200667,175.0,445.0
1753200699,176.0,449.0
1753200732,176.0,449.0
1753200765,176.0,441.0
1753200799,176.0,435.0
1753200830,177.0,430.0
1753200863,176.0,434.0
1753200895,177.0,413.0
1753200926,176.0,412.0
1753200958,176.0,407.0
1753200988,176.0,401.0
1753201020,176.0,400.0
1753201052,176.0,399.0
1753201083,175.0,394.0
1753201116,176.0,397.0
1753201147,176.0,398.0
1753201181,176.0,396.0
1753201214,176.0,393.0
1753201245,176.0,374.0
1753201276,176.0,341.0
1753201309,175.0,325.0
1753201342,175.0,318.0
1753201374,177.0,320.0
1753201406,176.0,314.0
1753201438,175.0,315.0
1753201468,175.0,329.0
1753201500,177.0,313.0
1753201533,174.0,313.0
1753201541,165.0,319.0
1753201544,162.0,312.0
1753201548,161.0,308.0
1753201551,161.0,310.0
1753201554,164.0,310.0
1753201556,168.0,310.0
1753201566,184.0,302.0
1753201569,191.0,297.0
1753201572,196.0,274.0
1753201575,203.0,280.0
1753201578,211.0,299.0
1753201581,218.0,307.0
1753201584,224.0,301.0
1753201587,230.0,292.0
1753201591,240.0,710.0
1753201595,6.0,201.0
1753201598,252.0,277.0
1753201600,254.0,299.0
1753201603,258.0,320.0
1753201606,266.0,314.0
1753201609,291.0,317.0
1753201612,269.0,376.0
1753201616,286.0,277.0
1753201618,283.0,308.0
1753201621,287.0,305.0
1753201624,290.0,307.0
1753201627,294.0,320.0
1753201630,273.0,200.0
1753201636,276.0,200.0
1753201639,276.0,170.0
1753201642,279.0,381.0
1753201645,327.0,282.0
1753201647,333.0,308.0
1753201650,341.0,327.0
1753201653,340.0,320.0
1753201657,343.0,190.0
1753201662,295.0,311.0
1753201667,262.0,580.0
1753201670,8.0,363.0
1753201673,11.0,348.0
1753201677,14.0,342.0
1753201680,15.0,340.0
1753201683,30.0,240.0
1753201686,31.0,347.0
1753201689,33.0,352.0
1753201691,37.0,340.0
1753201695,43.0,336.0
1753201698,49.0,338.0
1753201701,53.0,332.0
1753201704,59.0,345.0
1753201707,64.0,345.0
1753201710,69.0,362.0
1753201713,71.0,351.0
1753201717,75.0,362.0
1753201720,82.0,365.0
1753201723,87.0,360.0
1753201725,90.0,356.0
1753201727,95.0,348.0
1753201731,100.0,344.0
1753201733,104.0,347.0
1753201736,110.0,336.0
1753201739,113.0,334.0
1753201741,113.0,340.0
1753201743,115.0,346.0
1753201747,120.0,362.0
1753201750,124.0,329.0
1753201752,125.0,328.0
1753201755,126.0,325.0
1753201758,125.0,342.0
1753201761,121.0,356.0
1753201764,143.0,294.0
1753201767,123.0,348.0
1753201770,124.0,328.0
1753201783,115.0,323.0
1753201786,115.0,318.0
1753201788,114.0,326.0
1753201791,112.0,323.0
1753201793,109.0,328.0
1753201796,109.0,329.0
1753201804,111.0,327.0
1753201838,120.0,590.0
1753201845,122.0,295.0
1753201848,116.0,308.0
1753201857,110.0,323.0
1753201866,109.0,316.0
1753201868,110.0,317.0
1753201871,111.0,317.0
1753201877,92.0,340.0
1753201891,127.0,307.0
1753201901,328.0,70.0
1753201905,302.0,520.0
1753201919,110.0,324.0
1753201922,110.0,309.0
1753201928,112.0,302.0
1753201931,126.0,400.0
1753201935,120.0,280.0
1753201938,129.0,540.0
1753201941,127.0,160.0
1753201945,317.0,130.0
1753201960,112.0,200.0
1753201965,109.0,287.0
